"titre","status","ads_d_appartenance","lien_ticket_jira","s__v__rit___dp_roc","bloc","version_corrective_111","sprint_de_correction_1","description_du_bug","version_de_roc"
"[ROC] Version 9.4.1 non fonctionnelle","En attente de prise en compte dans l'usine logicielle","DP ROC","ROC-3520","Bloquant","","","","Bonjour,

L'installation de la version 9.4.1 n'est fonctionnelle qu'en mode ""debug"".

Si on enlève le mode ""debug"", les front NP et DR sont inaccessibles (page blanche erreur 500 sur PICSEL).

 ","V9.4.1"
"[MOE][Connexion Volontaire] - Envoi de mail systématique","En cours de résolution et de qualification","DP ROC","ROC-3512","Mineur","MinDefConnect","V9.5.0","Sprint V9.5","Lorsque je me connecte avec un volontaire, je reçois systématiquement un mail indiquant que l'acte de candidature a été pris en compte. ","V9.4.1"
"[LOGS] roc-back-acces.log du serveur back trop volumineux","En cours de résolution et de qualification","DP ROC","ROC-3511","Majeur","Environnement","","Sprint V9.5","Le /var/log du serveur back était plein à 77% alors que la migration C1DR a eu lieu le 3 mars.

Les fichiers de logs roc-back_acces.log sont très volumineux (plus de 2Go pour le plus gros) :

roc-back_access.log : 1 775 273 322 octets
roc-back_access.log-20260222 : 646 205 octets
roc-back_access.log-20260301 : 976 900 octets 
roc-back_access.log-20260308 : 1 527395 601 octets
roc-back_access.log-20260315 :  2 757 734 772 octets

 

Les logs anonymisés seront déposés sur RESANA dans Ressources\\logs pour pb acces.log","V8.3.6"
"[MOE][Gestion][Créer un groupe] Valider création groupe réserviste ko","En cours de résolution et de qualification","DP ROC","ROC-3500","Bloquant","Droits","","Sprint V9.5","ENV INTEGRATION

En tant que REF 8595_utilisateur, je vais dans le menu Gestion/Gerer un groupe, j'arrive sur la page Gestion groupe réservistes

Je clique sur Créer un groupe, j'ajoute un réserviste et je clique sur Créer le groupe pour le valider or rien ne se passe , je reste sur la page actuelle (url : //front-dr.integration.roc.fr.capgemini.com/interne/groupe-reserviste/creation)

!image-2026-03-19-14-15-11-166.png!","V9.4.0"
"[MOE][Compétences] Modifier compétences transverses - Candidat ko","En cours de résolution et de qualification","DP ROC","ROC-3499","Bloquant","Compétences","","Sprint V9.5","Env Integration

Création d'un compte candidat en cliquant sur ""Je suis volontaire"" du site Internet, jusqu'à la saisie des informations personnelles validées. Ce qui entraine la connexion automatique à mon compte avec un message ""Vous êtes désormais dans l'espace candidat. Soyez attentif à vos e-mails, ils vous guideront pas-à-pas tout au long de votre processus d'engagement."" et les 2 blocs ""Données personnelles"" et ""Engagement"".

Si je clique sur le bloc ""Données personnelles"" j'ai un message d'erreur ""Une erreur est survenue.

!image-2026-03-19-11-38-37-416.png!

 

!image-2026-03-19-11-39-53-162.png!","V9.4.0"
"[MOE][Gestion] erreur sur la création d'un pilote avec un AO","En attente de prise en compte dans l'usine logicielle","DP ROC","ROC-3497","Majeur","Comptes","","","Titre : [MOE][Gestion] erreur sur la création d'un pilote

 

Configuration : V9.5 Intégration

 

Identifiant : AO

 

URL :   [https://front-dr.integration.roc.fr.capgemini.com/interne/utilisateurs/pilotes/ajout]

 

Descriptif :

Lorsque l'AO souhaite créer un pilote, une erreur sur la page apparait .

Résultat attendu :

la création du pilote 

Résultat obtenu :

erreur sur la page

 

 

!image-2026-03-19-10-38-17-011.png!","V9.5.0"
"[MOE][Contrat] Contre signature - Télécharger l'ESR signé par le réserviste ko","En cours de résolution et de qualification","DP ROC","ROC-3496","Bloquant","Contrat","","Sprint V9.5","Env Intégration, [53554_reserviste.roc@getnada.com  adr2.ssa|mailto:53554_reserviste.roc@getnada.com]

Je me connecte en tant qu'ADR, je vais sur le bloc contrat et je choisis un contrat à l'étape Contresignature.

Quand je clique sur ""Télécharger l'ESR signé par le réserviste"" j'ai une message d'erreur alors que le réserviste à envoyé son ESR signé

!image-2026-03-19-10-34-52-786.png!

 

!image-2026-03-19-10-35-34-125.png!

 ","V9.4.0"
"[MOE][Création emploi] Manque bloc fonctionnel ""mobilité interne pour RO1","En attente de prise en compte dans l'usine logicielle","DP ROC","ROC-3495","Majeur","Candidature","","","Titre : [MOE][Création emploi] Manque bloc fonctionnel ""mobilité interne pour RO1

 

Configuration : V9.5 Intégration

 

Identifiant : RO1

 

Descriptif :

Lorsque le RO1 souhaite candidater un poste temporaire, le bloc fonctionnel ""mobilité interne"" ne s'affiche pas

Résultat attendu :

le bloc fonctionnel ""mobilité interne""  s'affiche 

Résultat obtenu :

le bloc fonctionnel ""mobilité interne"" ne s'affiche pas

 

!image-2026-03-19-10-28-57-947.png!","V9.5.0"
"[MOE][Contrats] Accès contrat cotés réservistes","En cours de résolution et de qualification","DP ROC","ROC-3491","Bloquant","","","Sprint V9.5","À la suite de la validation de l’hypothèse de reconduction par l’ADR, le réserviste est bloqué par une erreur quand il tente d’accéder à ses contrats.

52809_reserviste.roc@getnada.com","V9.5.0"
"flux RoX : Erreur ""More than one result was found"" ","En cours de résolution et de qualification","DP ROC","ROC-3488","Majeur","","V8.3.8","Sprint V9.5","Lors de l'exécution du flux RoX le 17/03 pour CTO, j'ai à nouveau l'erreur suivante :

 

    ""Erreur d'import : Erreur non repertoriee empechant l'import dans ROC :

{*}More than one result was found for query although one row or none was expected.{*}""

 

Voir log en PJ.

PS : Je ne peux communiquer le fichier de données cause données réelles.","V8.3.5"
"[MOE][Compétences] Modifier compétences transverses - réserviste ko","En cours de résolution et de qualification","DP ROC","ROC-3487","Majeur","Compétences","","Sprint V9.5","Env Intégration

En tant que réserviste RO1 258368_reserviste.roc@getnada.com, je vais dans Mes données personnelles, onglet Compétences transverses

Je rajoute deux compétences en cliquant dans le liste Permis de conduire, puis en supprime une seule et je clique sur Valider les modifications.

J'ai un message ""Vos compétences ont bien été mises à jour"", mais je ne vois plus la compétence rajoutée d'affichée

!image-2026-03-18-15-59-37-343.png!

 

Idem si je rafraichis l'écran

 ","V7.4.0"
